   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 715,        247295,          122579,            374,     24650,        2082,         63,        512653,             706,            825,    32056,       6172,        76
 716,        248094,          122977,            374,     24264,        2133,         66,        514086,             708,            816,    32100,       6178,        75
 717,        249381,          123619,            379,     25009,        2106,         64,        515521,             708,            816,    32143,       6187,        75
 718,        249606,          123730,            377,     24653,        2116,         64,        516958,             712,            817,    32173,       6196,        74
 719,        249951,          123901,            376,     24768,        2074,         63,        518397,             711,            820,    32264,       6211,        74
 720,        251096,          124472,            378,     25107,        2083,         64,        519838,             711,            817,    32341,       6228,        74
 721,        252169,          125007,            381,     24927,        2135,         64,        521281,             710,            822,    32301,       6215,        74
 722,        252346,          125094,            380,     26020,        2113,         65,        522726,             718,            822,    32400,       6239,        75
 723,        253277,          125558,            383,     25776,        2110,         63,        524173,             718,            829,    32401,       6230,        74
 724,        253790,          125813,            382,     25968,        2085,         63,        525622,             716,            830,    32539,       6266,        75
 725,        254889,          126361,            453,     25133,        2146,        117,        527073,             715,           1352,    32548,       6262,        78
 726,        255954,          126892,            386,     25701,        2155,         69,        528526,             717,            981,    32561,       6261,        77
 727,        256021,          126924,            390,     25457,        2136,         71,        529981,             717,            842,    32683,       6291,        77
 728,        257340,          127582,            387,     26003,        2101,         65,        531438,             725,            840,    32664,       6282,        77
 729,        258099,          127960,            389,     26297,        2113,         66,        532897,             721,            841,    32778,       6315,        75
 730,        259188,          128503,            391,     25307,        2150,         66,        534358,             719,            843,    32814,       6321,        75
 731,        259647,          128731,            394,     25429,        2197,         66,        535821,             725,            846,    32890,       6332,        76
 732,        260740,          129276,            452,     25529,        2150,         65,        537286,             729,            848,    32966,       6346,        76
 733,        261275,          129542,            393,     25155,        2179,         67,        538753,             725,            851,    32997,       6354,        76
 734,        261646,          129726,            395,     25684,        2146,         63,        540222,             727,            853,    33028,       6354,        76
 735,        262491,          130147,            395,     26038,        2188,         66,        541693,             727,            856,    33122,       6379,        76
 736,        263858,          130829,            398,     26545,        2132,         66,        543166,             729,            859,    33183,       6387,        77
 737,        264711,          131254,            398,     27412,        2171,         67,        544641,             729,            861,    33258,       6403,        76
 738,        265560,          131677,            400,     25851,        2206,         67,        546118,             733,            863,    33238,       6399,        77
 739,        266187,          131989,            403,     26002,        2223,         67,        547597,             731,            865,    33248,       6393,        76
 740,        267476,          132632,            404,     26148,        2193,         68,        549078,             735,            868,    33408,       6434,        75
 741,        268429,          133107,            406,     26158,        2185,         67,        550561,             734,            869,    33366,       6421,        76
 742,        268698,          133240,            406,     26247,        2178,         66,        552046,             740,            873,    33448,       6440,        77
 743,        269297,          133538,            408,     26834,        2168,         67,        553533,             736,            877,    33534,       6458,        77
 744,        270720,          134248,            408,     26351,        2250,         68,        555022,             737,            879,    33584,       6461,        77
 745,        271665,          134719,            410,     26998,        2161,         66,        556513,             740,            877,    33705,       6491,        77
 746,        272794,          135282,            411,     27384,        2174,         65,        558006,             739,            927,    33715,       6493,        77
 747,        273265,          135516,            414,     26807,        2202,         67,        559501,             741,            889,    33702,       6489,        77
 748,        274430,          136097,            413,     27139,        2172,         66,        560998,             742,            887,    33810,       6507,        76
 749,        274993,          136377,            415,     27640,        2197,         67,        562497,             744,            891,    33804,       6509,        76
 750,        275710,          136734,            415,     27119,        2202,         67,        563998,             741,            896,    33936,       6539,        76
 751,        276713,          137234,            418,     26738,        2208,         66,        565501,             744,            900,    33926,       6533,        77
 752,        277194,          137473,            419,     26318,        2247,         68,        567006,             745,            942,    34044,       6555,        79
 753,        277691,          137720,            420,     27184,        2268,         71,        568513,             747,            899,    34103,       6567,        78
 754,        278028,          137887,            418,     27888,        2240,         67,        570022,             745,            907,    34152,       6576,        78
 755,        278947,          138345,            421,     25709,        2257,         67,        571533,             750,            903,    34151,       6574,       126
 756,        278996,          138368,            432,     26057,        2232,         75,        573046,             749,           1279,    34217,       6587,       164
 757,        279941,          138839,            466,     26932,        2240,         70,        574561,             749,            915,    34309,       6611,        81
 758,        280790,          139262,            423,     27097,        2226,         69,        576078,             754,            916,    34384,       6625,        80
 759,        280877,          139304,            430,     28243,        2205,         68,        577597,             752,           1348,    34356,       6617,       103
 760,        281992,          139860,            441,     28547,        2205,         76,        579118,             750,            917,    34430,       6631,        83
 761,        282121,          139923,            428,     27273,        2225,         69,        580641,             753,            921,    34477,       6636,        81
 762,        282208,          139965,            425,     27747,        2210,         67,        582166,             755,            925,    34565,       6655,        80
 763,        283613,          140666,            428,     26925,        2257,         70,        583693,             758,            923,    34583,       6662,        81
 764,        283716,          140716,            427,     27388,        2249,         68,        585222,             754,            926,    34652,       6672,        80
 765,        284231,          140972,            429,     28190,        2233,         69,        586753,             760,            927,    34639,       6664,        79
 766,        285582,          141646,            430,     28647,        2284,         71,        588286,             758,            963,    34746,       6692,        80
