     n, heap_cmp, heap_swaps, heap_time
 70823,  5513133,    1078629,      7480
 70824,  5513314,    1078646,      7455
 70825,  5514015,    1078745,      7471
 70826,  5512932,    1078506,      7475
 70827,  5513233,    1078591,      9268
 70828,  5514329,    1078841,      7489
 70829,  5513525,    1078699,      7480
 70830,  5514964,    1079004,      7507
 70831,  5513442,    1078575,      7782
 70832,  5513596,    1078688,      8788
 70833,  5514214,    1078799,      7464
 70834,  5514103,    1078801,      7488
 70835,  5514907,    1078937,      7465
 70836,  5514412,    1078802,      7468
 70837,  5513861,    1078660,      7467
 70838,  5514155,    1078769,      7494
 70839,  5514255,    1078783,      7480
 70840,  5515509,    1079094,      7475
 70841,  5514648,    1078901,      7469
 70842,  5514578,    1078810,      8722
 70843,  5515214,    1078971,      8203
 70844,  5516166,    1079245,     11692
 70845,  5515463,    1079034,      7540
 70846,  5515207,    1079010,      8946
 70847,  5515546,    1079055,      7490
 70848,  5515804,    1079120,      9167
 70849,  5515499,    1079065,      7511
 70850,  5516558,    1079316,      7944
 70851,  5515788,    1079141,      7477
 70852,  5516029,    1079208,      9160
 70853,  5515834,    1079104,      7460
 70854,  5516000,    1079143,      7652
 70855,  5516132,    1079192,      7476
 70856,  5516428,    1079224,      7527
 70857,  5515952,    1079129,      7481
 70858,  5516332,    1079223,      7490
 70859,  5516622,    1079295,      7474
 70860,  5516672,    1079266,      7488
 70861,  5516611,    1079227,      7486
 70862,  5516314,    1079164,      7463
 70863,  5516637,    1079239,      7480
 70864,  5517167,    1079380,      7466
 70865,  5516885,    1079293,      7471
 70866,  5518357,    1079700,      7455
 70867,  5516978,    1079346,      7459
 70868,  5517618,    1079479,      7464
 70869,  5517327,    1079410,      7476
 70870,  5516299,    1079146,      7460
 70871,  5517362,    1079438,      7466
 70872,  5517199,    1079334,      7503
 70873,  5517684,    1079455,     10882
 70874,  5517132,    1079348,      8682
 70875,  5517422,    1079445,     10670
 70876,  5517811,    1079509,      8227
 70877,  5518085,    1079558,      8514
 70878,  5517968,    1079522,      7734
 70879,  5518453,    1079631,      8870
 70880,  5518816,    1079731,      7559
 70881,  5518799,    1079686,      9275
 70882,  5518770,    1079723,      8912
 70883,  5518361,    1079587,      9240
 70884,  5518435,    1079631,      7973
 70885,  5518787,    1079689,      7736
 70886,  5518534,    1079626,      7803
 70887,  5518463,    1079630,      9286
 70888,  5518069,    1079502,      7490
 70889,  5519663,    1079835,      8248
 70890,  5519086,    1079760,      8155
 70891,  5519156,    1079768,     10378
 70892,  5518992,    1079718,      8007
 70893,  5519752,    1079905,      8213
 70894,  5519081,    1079722,      7630
 70895,  5519305,    1079775,      8500
 70896,  5520495,    1080095,     10648
 70897,  5519517,    1079813,      8490
 70898,  5519852,    1079925,      9310
 70899,  5519904,    1079879,      8874
 70900,  5519631,    1079824,     10196
 70901,  5519858,    1079917,      7502
 70902,  5520088,    1079934,      8613
 70903,  5520107,    1079981,      7527
 70904,  5520138,    1079961,      9134
 70905,  5521359,    1080280,      7485
 70906,  5520106,    1079958,     10009
 70907,  5520417,    1080010,      7616
 70908,  5521222,    1080240,     10838
 70909,  5521666,    1080343,      8913
 70910,  5521396,    1080242,      7802
 70911,  5521069,    1080130,      8433
 70912,  5519721,    1079781,      7515
 70913,  5520020,    1079921,      8558
 70914,  5521394,    1080253,      7732
 70915,  5521467,    1080242,      8876
 70916,  5520468,    1079999,      7621
 70917,  5520938,    1080138,      8507
 70918,  5521786,    1080314,      7533
 70919,  5521230,    1080147,      7793
 70920,  5521656,    1080251,      7698
 70921,  5521837,    1080271,      7526
 70922,  5521529,    1080218,      8466
 70923,  5522004,    1080296,      7478
 70924,  5521139,    1080078,      9784
 70925,  5521071,    1080064,     10356
 70926,  5522032,    1080325,      7492
 70927,  5522069,    1080324,      8244
